@relation players_stats

@attribute GamesPlayed numeric
@attribute Points numeric
@attribute 3PointsAccuracy numeric
@attribute FreeThrows numeric
@attribute Rebound numeric
@attribute Assistance numeric
@attribute Stolen numeric
@attribute Blocks numeric

@data
26,133,26.3,66.7,32,46,7,0
82,954,38.7,83.3,166,261,54,15
47,243,27.1,72.1,169,33,21,22
32,213,11.1,65.2,162,30,19,9
76,1156,30.6,75.9,544,244,68,98
65,1082,40,65.5,548,113,47,84
74,545,34.8,81.2,204,83,56,5
27,374,38.2,82.2,114,82,17,5
5,4,0,100,1,1,0,0
69,432,33.3,70.2,454,32,34,105
42,434,33.8,80.7,99,106,30,6
68,443,0,81.8,315,47,21,51
74,412,27.4,71.2,342,59,70,62
51,168,35.3,75,73,39,19,15
54,241,37.1,70.1,94,25,35,7
59,680,0,72,329,45,29,38
75,694,41.3,61.2,456,117,44,59
26,255,0,73.3,170,35,19,16
4,3,16.7,0,2,1,0,0
82,1130,0,38.9,1104,55,73,153
77,604,34.9,59.6,257,228,89,25
81,355,20.6,75.3,153,284,32,6
67,228,24.7,47.9,255,70,53,29
29,430,36.6,81.3,127,46,2,27
7,3,0,75,8,1,1,0
67,422,0,52.4,543,180,39,113
40,194,31.7,60,82,22,6,12
82,1387,31,76,374,170,86,50
57,298,30.4,64.1,216,48,27,16
68,1656,8.3,80.5,696,149,100,200
74,790,43.4,88.8,195,60,54,11
76,482,36.6,78.3,236,59,24,16
41,231,29.3,73.5,74,44,18,9
6,27,0,37.5,21,4,1,3
70,461,25,86.5,318,35,16,22
78,1035,35.4,84.3,247,129,41,7
34,129,33.8,83.3,75,17,12,5
76,530,29.8,67.5,152,155,48,14
77,1071,35.2,79,241,135,82,15
56,349,36.1,83.6,63,50,14,1
82,996,35.8,81.3,241,140,77,19
79,605,26.8,85.3,143,220,46,8
16,44,0,87,39,4,2,15
64,304,0,58.3,407,16,18,99
67,1469,40,72.8,508,354,63,35
78,700,35.5,82.1,213,68,34,9
81,708,32,77.4,348,233,36,23
63,962,40.9,78.3,241,194,76,18
75,544,0,69.6,321,41,50,94
82,866,28.1,79,398,104,41,32
27,142,23.5,64.9,83,30,18,7
41,632,36,83.9,104,272,44,4
63,1070,38.9,87.4,244,330,90,10
33,30,11.1,45.5,41,12,5,12
22,35,0,53.8,29,2,2,10
72,480,32.1,89.2,109,162,33,6
72,1236,10,81.4,535,50,43,126
8,10,66.7,0,2,0,0,1
15,80,35,83.3,18,15,4,0
57,570,40,82.6,163,208,57,9
18,10,0,80,8,1,2,1
70,503,0,82,268,26,15,17
71,836,0,62.7,482,95,41,12
40,966,34.1,79.7,264,122,40,17
78,460,37.9,90.2,196,79,43,4
23,36,18.2,0,20,11,3,1
66,1037,38,72,323,161,69,19
75,549,39.3,88.6,293,94,47,39
64,403,37.6,57.1,149,19,15,22
67,457,36.4,82.7,198,64,44,10
60,320,30.8,66.7,299,43,26,61
44,928,37.5,77.2,310,95,41,25
50,309,31.1,73.3,111,51,11,11
12,19,14.3,100,12,4,1,0
29,166,29.5,87.5,55,15,26,7
74,638,0,70.6,484,65,18,54
82,1564,39.8,90,376,838,156,15
29,50,0,54.5,51,20,10,4
62,424,39.6,69.9,91,64,43,8
70,942,34.5,80.7,214,75,60,26
21,41,36.8,100,7,8,3,1
39,210,26.2,75,97,36,24,12
12,32,0,17.4,36,2,1,9
62,472,100,77.4,362,100,34,49
61,338,0,78.1,338,75,37,65
80,917,26.8,74.3,297,173,114,19
50,183,13.3,57.4,145,16,10,21
79,535,36.4,73.4,192,188,46,17
77,777,40.2,86,178,151,75,12
82,777,33.7,86.8,161,353,49,3
33,21,0,81.8,11,2,3,0
82,1720,34.3,86.4,378,507,97,21
68,323,40.6,69.6,47,53,16,5
59,734,35.5,89.5,218,83,47,20
30,188,35.7,75.7,80,17,13,6
81,946,41.8,87.4,343,158,101,87
66,340,10,61.7,256,50,46,37
82,393,31.4,62.5,131,198,41,14
5,2,0,0,1,2,1,0
38,83,21.2,44.4,27,48,9,0
58,382,23.6,78,171,57,48,26
45,725,37.3,78.8,143,252,67,14
49,388,0,65.4,257,85,31,26
3,8,50,50,2,9,2,0
2,0,0,0,2,1,0,0
66,769,20,73.9,449,223,48,48
82,946,25,39.7,1226,61,81,183
29,56,0,66.7,56,3,7,1
60,1204,28.4,83.2,277,210,73,11
59,1421,25,78.2,747,210,90,103
70,883,39.5,70.2,372,118,94,17
77,768,35.1,82.7,164,317,49,4
68,884,36.7,83.4,237,448,64,17
74,1187,16.7,66.9,607,112,60,123
51,904,28,81.3,161,251,36,16
74,617,31.4,68.4,202,50,34,4
76,665,35.7,81.5,135,237,78,14
16,37,18.2,31.3,31,17,9,2
59,216,0,53.1,295,9,16,50
80,940,29.7,68,192,163,90,21
77,1333,38,88.2,457,143,39,33
53,391,31.3,77.9,143,190,23,0
71,855,36.8,60.2,421,130,56,34
48,219,38,81,111,41,20,11
36,109,31.7,66.7,43,6,4,1
79,921,33.7,66,647,291,123,99
51,277,39,77.3,223,49,21,9
9,17,0,50,18,2,1,0
6,52,63.6,90,12,14,3,0
41,646,50,52.8,431,50,28,53
29,90,27.3,75.8,50,9,9,6
62,1331,28.4,76.8,219,299,73,21
16,32,50,50,28,5,4,2
10,27,28.6,25,23,3,3,4
79,656,0,48.7,600,94,49,98
33,29,0,77.8,26,8,8,7
82,731,26.2,55.1,349,533,142,20
47,248,31.1,67.4,150,58,56,16
13,37,44.4,25,8,12,4,0
36,96,0,52.2,100,22,17,25
75,1163,35.6,78.2,671,55,36,29
81,1377,32.4,80,423,493,127,45
61,818,44.8,80.5,159,229,50,14
43,146,29.8,83.3,31,39,12,0
58,669,38.9,64.5,277,56,36,19
56,149,34.2,60,46,33,20,6
58,698,37.8,72.8,153,120,40,2
82,779,27.7,75.2,417,449,83,19
46,201,0,62.8,155,9,7,42
14,45,22.2,25,17,15,9,5
41,93,0,48.1,176,28,17,16
4,6,0,0,1,13,2,0
52,204,37.5,72.9,90,56,42,9
55,188,20.4,74.5,64,29,39,7
54,543,30.5,86.7,129,100,23,1
43,692,35.8,79,179,220,44,14
74,884,35.4,82.5,186,91,42,12
80,969,33.1,84.8,273,206,51,22
32,35,33.3,40,57,11,15,4
81,1030,15.9,74.1,542,207,73,85
21,105,45,100,29,9,2,7
74,294,0,63.2,169,39,41,21
5,11,14.3,66.7,4,2,0,0
35,73,26.3,66.7,39,11,6,1
78,1275,34.7,77.4,274,350,78,15
76,1463,36.4,81.2,373,313,108,30
73,710,16.7,78.3,609,146,71,126
8,16,6.7,100,9,3,2,2
69,1098,0,75,704,142,78,34
42,80,0,51.3,79,9,7,11
17,14,0,50,15,3,2,0
82,775,37.9,75.8,216,302,46,10
82,827,40.5,72,453,116,61,19
48,564,0,50,482,6,27,123
62,232,43.2,54.5,99,37,19,7
73,586,18.2,77.4,359,79,39,30
24,175,34.1,77.8,82,29,24,9
71,626,40.1,70.8,198,85,57,26
30,57,33.3,100,16,12,9,3
61,265,0,30.4,356,33,30,46
62,496,34.2,67.2,224,135,81,16
47,432,37,81.7,87,98,29,3
67,1101,37.3,86.8,153,284,57,5
55,338,30,59.6,100,180,36,6
77,580,32.3,80.9,134,263,33,1
19,227,37.1,75.3,36,40,12,2
25,308,25,69.7,138,42,31,5
16,27,0,42.9,25,1,6,3
82,628,29.3,77.3,293,94,72,25
74,386,24.4,67,163,77,38,26
3,3,50,0,2,3,0,1
64,1010,32.7,90.1,124,158,59,14
63,523,34.5,66.7,146,253,47,6
62,312,32.6,84,176,48,25,17
81,2217,37.5,86.8,459,565,154,60
70,554,21.6,65.7,257,95,54,70
57,250,36,84.8,62,24,13,8
15,62,0,56,37,2,5,9
31,105,25.8,55.2,42,13,8,2
